mjd,bjd,mag,magerr,filter,sn,site_id,fwhm,Nbin
59177.216511374754,2459177.7215461526,18.52562507389329,0.04142060932257088,rp,26.21883206841716,elp,3.2245291499216204,9.0
59178.226275960646,2459178.7312860023,18.386329720485033,0.03143570258469645,gp,34.54670679219008,elp,2.330263439155947,6.0
59178.23143383681,2459178.7364437478,18.488190307395335,0.036535528689196316,rp,29.724491172373103,elp,2.8537820434537444,6.0
59179.2933271875,2459179.7983096167,18.6457800330042,0.0765467176268652,rp,14.200493159458826,elp,4.3916427144970696,1.0
59182.210828082556,2459182.715727678,18.394597659608458,0.06640962390356982,gp,16.35305150315153,elp,2.675467906182941,3.0
59182.2159710108,2459182.72087045,18.53883554754479,0.082959234921761,rp,13.090766820887495,elp,6.421640488356989,3.0
59184.219204409725,2459184.724040727,18.493111868960327,0.0857812849432157,gp,12.671764742410506,elp,,
59184.22605094907,2459184.73088704,18.492448525627154,0.09089145964213109,rp,11.948317303693123,elp,8.449689263470828,3.0
59186.22767742284,2459186.732445455,18.402120976133453,0.05852881345609084,gp,18.55496354483135,elp,3.432376011360011,3.0
59186.23284349536,2459186.7376113436,18.467199163460354,0.05494361038394136,rp,19.765719660778075,elp,2.572136857843226,3.0
59187.1086892284,2459187.613425757,18.421604881543047,0.021735099051545703,gp,49.9652657401977,elp,2.72846500020472,3.0
59187.11385103781,2459187.6185873803,18.504454234662646,0.038823511738003864,rp,27.972740006848166,elp,2.824026897104186,3.0
59188.19182898148,2459188.6965254806,18.430298625585728,0.025243312855219035,gp,43.02129463865003,elp,3.1521432357302026,3.0
59188.19700209106,2459188.701698394,18.474965557633368,0.031002266368730602,rp,35.0296970899959,elp,3.0698328762630385,3.0
59191.0379624267,2459191.542547016,18.431958756057334,0.03232334297928793,gp,33.59800997984287,elp,2.6207101999790114,3.0
59191.04312476466,2459191.5477091447,18.490662974100136,0.02013311100869687,rp,53.94099300057911,elp,2.608358066519911,3.0
59192.06111402393,2459192.5656560645,18.389517582263597,0.014396450838541132,gp,75.4352591607259,elp,2.15703734786452,3.0
59192.066285555564,2459192.5708273803,18.49848679674392,0.0194529902828207,rp,55.82689263763561,elp,2.92736292300587,3.0
59193.2898173341,2459193.794306617,18.416544555948203,0.011826211137836135,gp,91.82991808132961,elp,1.8453561127274323,3.0
59193.295033641974,2459193.7995226937,18.448669175797853,0.015759193171950233,rp,68.91215737700138,elp,2.9286506745362266,3.0
59195.146735952934,2459195.6511423285,18.416617045540615,0.014351150909105534,gp,75.67337329795296,elp,2.9080261170240767,3.0
59195.15189563271,2459195.656301772,18.462915711337146,0.019409062036527067,rp,55.95324482740032,elp,2.8482034669380476,3.0
59197.11921399691,2459197.623527999,18.424630350025936,0.014358556652838132,gp,75.63434307899881,elp,2.857367882012241,3.0
59197.12438043596,2459197.62869419,18.47999381651275,0.019320804882092268,rp,56.20883843232499,elp,2.7071332023742465,3.0
59199.25107282793,2459199.755282156,18.419028288412935,0.015297558245085002,gp,70.99172185527871,elp,3.293566055336218,3.0
59199.256236566354,2459199.7604456325,18.465322053294116,0.022137567193598398,rp,49.056881025031636,elp,3.0833533895015193,3.0
59200.24623548226,2459200.750394305,18.417381852865347,0.014217386051344634,gp,76.3853493235692,elp,2.7898982873769906,3.0
59200.251410725316,2459200.755569279,18.50842139212748,0.02435861944861323,rp,44.583807481003504,elp,2.8304388205196847,3.0
59203.04653424769,2459203.550545477,18.431264868351146,0.0160655903336047,gp,67.59788949232654,elp,2.0710643658935894,3.0
59203.05172378858,2459203.5557347387,18.480748201978393,0.01795874305549033,rp,60.47193818879151,elp,3.0524745563019557,3.0
59204.12942973765,2459204.633381775,18.475021716370346,0.0203386794814237,gp,53.395796958789596,elp,2.9285870261945632,3.0
59204.13460450617,2459204.638556257,18.47779806152718,0.02027016655437773,rp,53.57627413108047,elp,3.051920417247926,3.0
59205.20841880401,2459205.7123106895,18.384915225497256,0.021622628297155767,gp,50.22516157958707,elp,3.3167457579162227,3.0
59205.213585570986,2459205.7174771633,18.485339476951644,0.02696577056856897,rp,40.27327894222429,elp,3.3795045732737123,3.0
59206.16064991127,2459206.664487825,18.425520098518035,0.029619733653447933,gp,36.664745628919,elp,2.901708911724892,3.0
59206.165794988425,2459206.669632606,18.5510427223848,0.034094893526487466,rp,31.852277208500855,elp,2.557017014580637,3.0
59208.146939328704,2459208.650661903,18.41771841877552,0.03888102576913097,gp,27.931361853683764,elp,2.746561840860229,3.0
59208.152101184416,2459208.6558234524,18.472073620500996,0.05327795322715123,rp,20.38366592969188,elp,3.1424398554749966,3.0
59383.44290947531,2459383.940321028,18.43899665896863,0.047316087461659266,gp,22.95202452823255,elp,4.658003005950633,3.0
59383.44805662808,2459383.945468446,18.49061679338146,0.06532175359954652,rp,16.625395678409028,elp,4.3440924122794575,3.0
59384.44094232252,2459384.9384049284,18.432959237072588,0.024846836496169936,gp,43.70777745357658,elp,2.636990993125251,3.0
59384.44609507717,2459384.943557952,18.4901485211564,0.030709923568339098,rp,35.363161929833964,elp,2.2883061560442717,3.0
59385.443151338746,2459385.940666148,18.429171627488778,0.035344681602225834,gp,30.725980565393158,elp,3.2354198093775555,3.0
59385.448334039356,2459385.945849125,18.593342157753145,0.0549751556638364,rp,19.754377898276502,elp,3.258405198698251,3.0
59386.438220817894,2459386.935788365,18.522424843625437,0.05428841191379607,gp,20.004269082773074,elp,2.6075235372741337,3.0
59386.44337438272,2459386.940942209,18.476017957490313,0.041674594895425465,rp,26.059041550976374,elp,2.1289498915854166,3.0
59398.44340414738,2459398.941674057,18.399153130499606,0.0291734208537813,gp,37.22566528769761,elp,2.2337702603747607,3.0
59398.44869857639,2459398.9469688237,18.46617098355955,0.045136165744353605,rp,24.060528449646952,elp,1.9559882934452013,3.0
59400.44496373457,2459400.943361537,18.368644530848854,0.026618647018832865,gp,40.79846730119859,elp,1.7991228744466479,3.0
59400.45012115742,2459400.9485192965,18.438848321992523,0.031364552211001734,rp,34.62507587208799,elp,3.360697726655381,3.0
59401.38903084877,2459401.8874898925,18.42307391775541,0.017234140519033467,gp,63.0144566130592,elp,2.3442757815142206,3.0
59401.39417240355,2459401.8926317864,18.489149467957212,0.0200789395386263,rp,54.08652174637201,elp,2.5378084441586717,3.0
